"metric","nest_guild","parameter","Estimate","Error","Q5","Q95","Prob_Pos","Prob_Neg"
"dispersion","All","Distance",-0.0300719752857909,0.0239966175915176,-0.0688714154892032,0.00908869390358444,0.101,0.899
"richness","Ground","Distance",-0.0558661861359198,0.00902144935296652,-0.0707471615067275,-0.0409971480312986,0,1
"richness","All","Distance",-0.0688853817135293,0.00389999242098272,-0.075135856702099,-0.0624568937417327,0,1
"richness","1° Cavity","Distance",-0.0845499721632954,0.0092409356780724,-0.0993897301492943,-0.069263958832485,0,1
"richness","2° Cavity","Distance",-0.0221593264000624,0.0110644754400752,-0.0399117492718066,-0.00367623310074221,0.022,0.978
"richness","Shrub","Distance",0.00157391219709124,0.00930652526920925,-0.0134942384651493,0.0166671771321405,0.563,0.437
"richness","Tree","Distance",-0.114123290226985,0.00651016362733146,-0.124945209262359,-0.103595858391271,0,1
"richness","2° Cavity","Dist x YSF",-0.0276676683039381,0.012460795289299,-0.0476337038258035,-0.00702113658833286,0.0125,0.9875
"richness","Ground","Dist x YSF",0.0168905737994209,0.00904200284408641,0.00199174324321244,0.0318674986228964,0.97,0.03
"richness","Tree","Dist x YSF",-0.0330751879554701,0.00714525506863082,-0.0444769349029721,-0.0215313740778667,0,1
"dispersion","All","Dist x YSF",0.0074462251652015,0.0368994988862922,-0.0545388206492292,0.068655249137025,0.5795,0.4205
"richness","Shrub","Dist x YSF",-0.00688702357273905,0.00687860380072625,-0.018131481046949,0.0048256163204681,0.154,0.846
"richness","1° Cavity","Dist x YSF",-0.0437633226888788,0.0113840742786924,-0.0631519384797731,-0.0253066183626957,0,1
"richness","All","Dist x YSF",-0.011198410407646,0.00386775595557395,-0.0175834981592156,-0.00482271244254804,0.0025,0.9975
"richness","Ground","Elevation",-0.0239482348977501,0.0130610082002644,-0.0457720926921342,-0.00252341888939402,0.034,0.966
"richness","2° Cavity","Elevation",0.0923160028966975,0.0175465790769828,0.0642215636744803,0.121083280798496,1,0
"dispersion","All","Elevation",-0.205868074702916,0.0415316870504822,-0.27426467496252,-0.137257258140244,0,1
"richness","Shrub","Elevation",0.0992278475100269,0.0175372098546196,0.0693424610455207,0.127846100907002,1,0
"richness","1° Cavity","Elevation",0.0465683695022481,0.013512819353374,0.0250365236599676,0.06965739029838,0.9995,0.000499999999999945
"richness","Tree","Elevation",-0.0527515951086741,0.0104684331514676,-0.0706227798539637,-0.036207160995054,0,1
"richness","All","Elevation",0.0101186351912082,0.00635575678919434,-0.000155075820664001,0.0204246988061817,0.946,0.054
"dispersion","All","Elev Squared",0.0929525676688627,0.0307355952436126,0.0431196286705858,0.144728678584631,0.999,0.001
"richness","All","Elev Squared",-0.00109190324301066,0.00521982249184887,-0.00974676382990385,0.00745984249889197,0.4195,0.5805
"richness","Shrub","Elev Squared",-0.020838842805429,0.0110321060150336,-0.0385635524098807,-0.00204813641204828,0.032,0.968
"richness","2° Cavity","Elev Squared",0.00997385995795017,0.0151220375867888,-0.0150235727437913,0.0342351672611426,0.7465,0.2535
"richness","Ground","Elev Squared",-0.0255596838814435,0.0117543865663531,-0.045133222533512,-0.00679949059587069,0.014,0.986
"richness","1° Cavity","Elev Squared",-0.0425763557200792,0.0123353456727515,-0.0635519955814248,-0.0228591667482333,0,1
"richness","Tree","Elev Squared",0.00708342488399399,0.00836463756851156,-0.00676548012919313,0.0206600510116647,0.809,0.191
"richness","Ground",NA,1.18314260145611,0.0384829368767461,1.11827198741021,1.2413895696909,1,0
"dispersion","All",NA,-2.34950685314582,0.114370149535648,-2.54764365922933,-2.16583590681014,0,1
"richness","Shrub",NA,1.1353391834319,0.0552881211830524,1.04254801689047,1.22362411399597,1,0
"richness","2° Cavity",NA,0.85845881405651,0.0705333161693926,0.740946886254775,0.975106674682606,1,0
"richness","All",NA,2.92335816132293,0.0208595355198518,2.88876817122762,2.95756650267039,1,0
"richness","Tree",NA,1.80695064646462,0.0361414411918679,1.74666859857318,1.86393377061462,1,0
"richness","1° Cavity",NA,1.16024831604307,0.0426012044143705,1.08849823042921,1.22803006343833,1,0
"richness","Ground","Latitude",-0.0451074942686857,0.0294571424602515,-0.0928794104597164,0.00310096267780103,0.064,0.936
"dispersion","All","Latitude",0.00745998439522403,0.0848588855904662,-0.121452741730632,0.151558054106436,0.5265,0.4735
"richness","Shrub","Latitude",-0.0918005943197007,0.0466244160602716,-0.167722742178566,-0.0135054508576113,0.0275,0.9725
"richness","2° Cavity","Latitude",0.0126835007646916,0.0539751507810742,-0.0778240610009929,0.100347191891771,0.606,0.394
"richness","All","Latitude",-0.0452766582274413,0.017011087994223,-0.0731735716618755,-0.0167211722457958,0.0025,0.9975
"richness","Tree","Latitude",-0.0436654828733692,0.0295725219636918,-0.0930681068347511,0.00302784848322826,0.062,0.938
"richness","1° Cavity","Latitude",-0.0677565611297553,0.0320277779855786,-0.119591968251165,-0.0138592720519739,0.018,0.982
"dispersion","All","Patch Area",0.0272272179528564,0.0737874586817198,-0.090819892334222,0.150292827347243,0.625,0.375
"richness","Ground","Patch Area",0.0105657387646139,0.0144356209837035,-0.0134926795698921,0.0339952839238732,0.769,0.231
"richness","1° Cavity","Patch Area",-0.0564248389801928,0.0134541369078628,-0.0783909981809163,-0.0337708168044767,0,1
"richness","2° Cavity","Patch Area",-0.017157739714067,0.0174752572369089,-0.0455147074023996,0.0115565707996816,0.1615,0.8385
"richness","All","Patch Area",-0.0255294141111917,0.00778138648852209,-0.0383527937331676,-0.0129477228733139,0.001,0.999
"richness","Shrub","Patch Area",0.0187527127792919,0.0242331678794255,-0.0208048195125257,0.0592804684672976,0.7805,0.2195
"richness","Tree","Patch Area",-0.0538874154779805,0.0119070002842544,-0.0731292529279926,-0.0347770020725576,0,1
"richness","Shrub","Area x YSF",0.0371775309300694,0.0192826110438649,0.00546641224622609,0.0691650344186881,0.972,0.028
"dispersion","All","Area x YSF",0.246572501671759,0.066470182723712,0.142802466847392,0.358863308673781,1,0
"richness","Ground","Area x YSF",-0.0119465416502788,0.0140582581290307,-0.0351676664576974,0.0116021708791815,0.202,0.798
"richness","All","Area x YSF",-0.00939485749021894,0.00749669740093776,-0.0211415142010006,0.00274341112031134,0.102,0.898
"richness","Tree","Area x YSF",-0.0242837035283338,0.012065276312053,-0.0444744016024893,-0.0055509990064466,0.022,0.978
"richness","2° Cavity","Area x YSF",-0.0212976513866372,0.0209650659568402,-0.0555567269929704,0.0137426675468565,0.154,0.846
"richness","1° Cavity","Area x YSF",-0.0398447745737265,0.0146897752783175,-0.0642176548839891,-0.0158797875365971,0.0015,0.9985
"richness","Shrub","Years Since Fire",0.515290523118007,0.0297327721899753,0.466104975977231,0.565306160871984,1,0
"richness","Ground","Years Since Fire",0.166822292133658,0.0291734506690874,0.12191880139113,0.216298979310558,1,0
"richness","All","Years Since Fire",0.0552660216935477,0.0128668890314866,0.0349224596923188,0.0769591030875881,1,0
"richness","Tree","Years Since Fire",-0.235003725402478,0.0225069019079475,-0.270979365876487,-0.198706465040758,0,1
"dispersion","All","Years Since Fire",0.101324382449495,0.0662130406130543,-0.00974030596735663,0.209777713200923,0.934,0.0659999999999999
"richness","1° Cavity","Years Since Fire",-0.239886099434698,0.0301010833232147,-0.290813463290457,-0.190356772862732,0,1
"richness","2° Cavity","Years Since Fire",0.462749933376631,0.0371689178809143,0.402397569794248,0.522033285916402,1,0
"dispersion","All","YSF Squared",-0.265533935810691,0.0473167068928825,-0.342814971340972,-0.188645377502389,0,1
"richness","All","YSF Squared",-0.0101480242945576,0.00524761732683524,-0.0189570781487274,-0.00163434122407683,0.0275,0.9725
"richness","2° Cavity","YSF Squared",-0.174957764132396,0.0176068839887082,-0.203588887455412,-0.146406138927516,0,1
"richness","Ground","YSF Squared",-0.0352050813942522,0.0118310188722162,-0.0551482267970422,-0.0159560852211151,5e-04,0.9995
"richness","Shrub","YSF Squared",-0.133105715137199,0.0105873379512482,-0.15030997501823,-0.115697733851695,0,1
"richness","1° Cavity","YSF Squared",0.0346784106234114,0.0127194770326647,0.0135063783322054,0.0555649091271496,0.9975,0.00249999999999995
"richness","Tree","YSF Squared",0.0877837529047031,0.00853596722378428,0.073794997342579,0.101852235534158,1,0
