"parameter","species","mean","lower","upper","prob_pos","prob_neg"
"jday","ACWO",0.135422658769162,-0.183273355889698,0.415773794006241,0.7635,0.2365
"jday","AMRO",-0.0358754905564137,-0.198386336107,0.127627806963606,0.376,0.624
"jday","ANHU",-0.443074187121017,-0.72806756955336,-0.163724701360495,0.004,0.996
"jday","ATFL",-0.0629446819281205,-0.534716899848154,0.417412724592231,0.42,0.58
"jday","BBWO",-0.27890449462616,-0.577392205601962,0.0216356086319621,0.0675,0.9325
"jday","BCSP",-0.127369077502068,-0.656323775802696,0.415428225948129,0.3425,0.6575
"jday","BEWR",-0.142729212001184,-0.439042838999139,0.200781688900406,0.23,0.77
"jday","BGGN",0.0383843315097064,-0.411190550417343,0.47737937565909,0.55,0.45
"jday","BHCO",-0.381664347370638,-0.712281742889865,-0.0461179135445918,0.0285,0.9715
"jday","BHGR",-0.476344933718632,-0.626343285731851,-0.317281488678271,0,1
"jday","BRBL",-0.122062588842233,-0.687021354242601,0.288728433905082,0.341,0.659
"jday","BRCR",-0.0314232781828147,-0.226092124487942,0.152869166836405,0.379,0.621
"jday","BRSP",-0.018677452295005,-0.416066721212912,0.411079964972893,0.47,0.53
"jday","BTPI",-0.103847313381116,-0.530673911437642,0.359565753859693,0.3385,0.6615
"jday","BTYW",-0.150102717607102,-0.41342906116295,0.124722609628732,0.1805,0.8195
"jday","BUOR",-0.299295801969356,-0.768517780989145,0.136565012184782,0.1415,0.8585
"jday","BUSH",-0.0224013771839413,-0.378666041678874,0.353784004029013,0.4555,0.5445
"jday","CAFI",0.0209632329275603,-0.232722239572134,0.269180869510198,0.5585,0.4415
"jday","CAHU",0.176945827575084,-0.197288299178017,0.56135719302127,0.782,0.218
"jday","CANW",-0.312846060625775,-0.809919338695919,0.253247693265254,0.1735,0.8265
"jday","CAQU",0.154465621233984,-0.240671684780298,0.558818200666571,0.739,0.261
"jday","CAVI",-0.187731047707362,-0.421557088618944,0.00872796424513328,0.0695,0.9305
"jday","CBCH",-0.134007084939895,-0.640526376488612,0.370782624434898,0.328,0.672
"jday","CHSP",-0.396821880815671,-0.55945457907039,-0.221258752029216,0,1
"jday","DEJU",0.0888363274509924,-0.0449676167852135,0.235347144018474,0.8585,0.1415
"jday","DOWO",0.212026273078954,-0.247372143512922,0.607901556671428,0.7895,0.2105
"jday","DUFL",0.0896324051148838,-0.0944345977954663,0.277828926045435,0.773,0.227
"jday","EUST",-0.242797869611532,-0.801845696727244,0.237406009295455,0.2195,0.7805
"jday","EVGR",-0.261249231483194,-0.59267946710735,0.0840231888008781,0.1025,0.8975
"jday","FOSP",0.0901268595306647,-0.12380546089157,0.313457535545803,0.747,0.253
"jday","GCKI",-0.0739557217504507,-0.413178221335831,0.26172499528207,0.372,0.628
"jday","GRFL",-0.273737581579653,-0.740366365368268,0.261460128487132,0.18,0.82
"jday","GTTO",-0.0295795747674144,-0.255329115384279,0.182061372983718,0.408,0.592
"jday","HAFL",0.178771371645939,-0.108266538014636,0.485799903044674,0.841,0.159
"jday","HAWO",-0.208976911058913,-0.361802971875428,-0.0597469044606658,0.0085,0.9915
"jday","HETH",0.056016117562392,-0.377942014399088,0.449995738944866,0.595,0.405
"jday","HEWA",-0.0984549988792586,-0.328297493888303,0.144181910593922,0.253,0.747
"jday","HOFI",-0.163504528186638,-0.691326373979326,0.262661090235262,0.2875,0.7125
"jday","HOWR",-0.131449789229467,-0.33617267901794,0.0610323637641831,0.1505,0.8495
"jday","HUVI",-0.244594746157662,-0.63587587861299,0.122400675090939,0.14,0.86
"jday","LAGO",0.412528606996634,0.0933658921351384,0.760994331051755,0.981,0.019
"jday","LASP",-0.196511272805141,-0.678934882200575,0.322499057177728,0.2615,0.7385
